[13:16:09] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K1G&distance=250&entitySelectingHelper.selectedEntity=m7#listing=414899692/NONE/DEFAULT
[13:16:09] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=414899692 full_key=toyota_corolla_le_fwd_gasoline year=2022 (cohort_size=373)
[13:16:09] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 热度排名：第 1 名 / 同款 373 台；高价值配置：前排座椅加热；关键安全配置：防抱死制动，自适应巡航，倒车影像，侧气帘
[13:21:01] INFO | main_api.py | lifespan | 🛑 服务已关闭
[13:21:02] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:21:02] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:21:14] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K1G&distance=250&entitySelectingHelper.selectedEntity=m7#listing=414899692/NONE/DEFAULT
[13:21:14] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=414899692 full_key=toyota_corolla_le_fwd_gasoline year=2022 (cohort_size=373)
[13:21:14] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 全量热度排名：第 2 名；高价值配置：前排座椅加热；关键安全配置：防抱死制动，自适应巡航，倒车影像，侧气帘
[13:30:40] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K1G&distance=250&entitySelectingHelper.selectedEntity=m7#listing=414899692/NONE/DEFAULT
[13:30:42] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=414899692 full_key=toyota_corolla_le_fwd_gasoline year=2022 (cohort_size=373)
[13:30:42] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 全量热度排名：第 2 名；高价值配置：前排座椅加热；关键安全配置：防抱死制动，自适应巡航，倒车影像，侧气帘
[13:30:51] INFO | main_api.py | lifespan | 🛑 服务已关闭
[13:30:52] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:30:52] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:30:59] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K1G&distance=250&entitySelectingHelper.selectedEntity=m7#listing=414899692/NONE/DEFAULT
[13:31:00] INFO | car_value_analysis_service.py | evaluate_from_url | 🔍 evaluating listing_id=414899692 full_key=toyota_corolla_le_fwd_gasoline year=2022 (cohort_size=373)
[13:31:00] INFO | car_value_analysis_service.py | evaluate_from_url | ✅ evaluate done: 全量热度排名：第 2 名；高价值配置：前排座椅加热；关键安全配置：防抱死制动，自适应巡航，倒车影像，侧气帘；可信度：Carfax 记录
[13:39:10] INFO | main_api.py | <module> | 🚀 预计热重载模式: WatchFilesReload
[13:39:10] INFO | main_api.py | <module> | 🔧 热加载监听：['D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\api', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\services', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\core', 'D:\\BaiduSyncdisk\\workspace\\python_workspace\\rehui_api\\utils']
[13:39:10] INFO | main_api.py | <module> | 📄 swagger: http://localhost:8000/docs
[13:39:10] INFO | main_api.py | <module> | 📄 redoc:   http://localhost:8000/redoc
[13:39:10] INFO | main_api.py | <module> | 📄 openapi: http://localhost:8000/openapi.json
[13:39:11] INFO | main_api.py | lifespan | 🚀 服务启动成功
[13:39:11] INFO | main_api.py | lifespan | 🚀 当前热重载模式: WatchFilesReload
[13:39:20] INFO | main_api.py | api_evaluate | 🔍 接收到评估请求: https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K1G&distance=250&entitySelectingHelper.selectedEntity=m7#listing=414899692/NONE/DEFAULT
